id,tipo,planeado,fecha_entrada,fecha_salida,tiempo_ciclo_dias,expedite,bloqueado_dias
CAD-1041,Evolutivo,Si,2026-07-18,2026-07-23,5,No,3
CAD-1026,Evolutivo,Si,2026-07-18,2026-07-19,1,No,0
CAD-1104,Interoperabilidad,No,2026-07-18,2026-09-19,63,No,0
CAD-1129,Incidente,No,2026-07-19,2026-07-23,4,Si,0
CAD-1105,Evolutivo,Si,2026-07-20,2026-07-24,4,No,1
CAD-1095,Evolutivo,Si,2026-07-20,2026-07-29,9,No,5
CAD-1112,Evolutivo,Si,2026-07-20,2026-07-31,11,No,0
CAD-1060,Evolutivo,Si,2026-07-20,2026-07-22,2,No,6
CAD-1123,Evolutivo,Si,2026-07-21,2026-07-25,4,No,0
CAD-1018,Evolutivo,Si,2026-07-21,2026-07-26,5,No,0
CAD-1048,Evolutivo,Si,2026-07-21,2026-07-26,5,No,0
CAD-1098,Cumplimiento,Si,2026-07-21,2026-09-01,42,No,0
CAD-1035,Evolutivo,Si,2026-07-22,2026-07-24,2,No,0
CAD-1007,Evolutivo,Si,2026-07-22,2026-07-25,3,No,1
CAD-1039,Evolutivo,Si,2026-07-22,2026-07-23,1,No,0
CAD-1096,Evolutivo,Si,2026-07-23,2026-08-08,16,No,0
CAD-1063,Evolutivo,Si,2026-07-23,2026-07-24,1,No,0
CAD-1034,Interoperabilidad,No,2026-07-23,2026-08-09,17,No,2
CAD-1001,Incidente,No,2026-07-23,2026-07-27,4,Si,0
CAD-1024,Interoperabilidad,No,2026-07-24,2026-08-04,11,No,0
CAD-1073,Cumplimiento,Si,2026-07-24,2026-08-13,20,No,0
CAD-1031,Evolutivo,Si,2026-07-24,2026-07-25,1,No,0
CAD-1120,Cumplimiento,Si,2026-07-25,2026-08-05,11,No,0
CAD-1114,Cumplimiento,Si,2026-07-26,2026-08-31,36,No,1
CAD-1067,Evolutivo,Si,2026-07-26,2026-07-31,5,No,0
CAD-1127,Interoperabilidad,No,2026-07-26,2026-10-31,97,No,0
CAD-1013,Incidente,No,2026-07-27,2026-07-28,1,Si,0
CAD-1032,Incidente,No,2026-07-28,2026-07-31,3,No,0
CAD-1044,Evolutivo,Si,2026-07-28,2026-07-31,3,No,0
CAD-1009,Cumplimiento,Si,2026-07-28,2026-08-07,10,No,2
CAD-1086,Evolutivo,Si,2026-07-29,2026-08-08,10,No,3
CAD-1108,Interoperabilidad,No,2026-07-30,2026-09-03,35,No,3
CAD-1053,Incidente,No,2026-08-01,2026-08-02,1,Si,0
CAD-1085,Interoperabilidad,No,2026-08-02,2026-09-22,51,No,0
CAD-1082,Incidente,No,2026-08-02,2026-08-05,3,No,3
CAD-1109,Interoperabilidad,No,2026-08-03,2026-08-31,28,No,0
CAD-1012,Evolutivo,Si,2026-08-03,2026-08-04,1,No,0
CAD-1066,Interoperabilidad,No,2026-08-04,2026-08-14,10,No,0
CAD-1037,Cumplimiento,Si,2026-08-06,2026-09-02,27,No,0
CAD-1011,Cumplimiento,Si,2026-08-07,2026-08-11,4,No,1
CAD-1057,Evolutivo,Si,2026-08-07,2026-08-10,3,No,0
CAD-1052,Cumplimiento,Si,2026-08-07,2026-08-21,14,No,0
CAD-1093,Interoperabilidad,No,2026-08-07,2026-08-18,11,No,1
CAD-1102,Incidente,No,2026-08-08,2026-08-12,4,No,0
CAD-1118,Cumplimiento,Si,2026-08-08,2026-08-21,13,No,0
CAD-1075,Cumplimiento,Si,2026-08-08,2026-09-10,33,No,0
CAD-1131,Incidente,No,2026-08-08,2026-08-10,2,No,0
CAD-1020,Interoperabilidad,No,2026-08-08,2026-08-31,23,No,0
CAD-1003,Evolutivo,Si,2026-08-09,2026-08-13,4,No,2
CAD-1025,Evolutivo,Si,2026-08-09,2026-08-16,7,No,0
CAD-1029,Cumplimiento,Si,2026-08-09,2026-08-23,14,No,2
CAD-1047,Evolutivo,Si,2026-08-09,2026-08-15,6,No,0
CAD-1042,Incidente,No,2026-08-09,2026-08-12,3,Si,0
CAD-1080,Evolutivo,Si,2026-08-09,2026-08-10,1,No,0
CAD-1110,Incidente,No,2026-08-10,2026-08-11,1,Si,0
CAD-1099,Evolutivo,Si,2026-08-10,2026-08-13,3,No,0
CAD-1111,Interoperabilidad,No,2026-08-13,2026-09-05,23,No,3
CAD-1091,Incidente,No,2026-08-13,2026-08-16,3,No,0
CAD-1049,Interoperabilidad,No,2026-08-13,2026-10-12,60,No,0
CAD-1061,Incidente,No,2026-08-13,2026-08-16,3,No,1
CAD-1033,Evolutivo,Si,2026-08-14,2026-08-16,2,No,0
CAD-1113,Incidente,No,2026-08-15,2026-08-19,4,Si,1
CAD-1089,Evolutivo,Si,2026-08-15,2026-08-22,7,No,0
CAD-1050,Cumplimiento,Si,2026-08-16,2026-08-29,13,No,0
CAD-1074,Evolutivo,Si,2026-08-16,2026-08-17,1,No,0
CAD-1070,Interoperabilidad,No,2026-08-16,2026-09-21,36,No,0
CAD-1083,Incidente,No,2026-08-16,2026-08-19,3,No,0
CAD-1087,Cumplimiento,Si,2026-08-16,2026-08-22,6,No,0
CAD-1088,Incidente,No,2026-08-16,2026-08-17,1,Si,0
CAD-1100,Evolutivo,Si,2026-08-17,2026-08-20,3,No,1
CAD-1084,Incidente,No,2026-08-18,2026-08-23,5,Si,1
CAD-1027,Evolutivo,Si,2026-08-18,2026-08-29,11,No,0
CAD-1046,Evolutivo,Si,2026-08-18,2026-08-21,3,No,0
CAD-1115,Incidente,No,2026-08-18,2026-08-20,2,No,0
CAD-1002,Evolutivo,Si,2026-08-19,2026-08-22,3,No,0
CAD-1079,Incidente,No,2026-08-19,2026-08-20,1,No,0
CAD-1117,Incidente,No,2026-08-20,2026-08-22,2,No,0
CAD-1022,Evolutivo,Si,2026-08-20,2026-08-26,6,No,0
CAD-1122,Interoperabilidad,No,2026-08-21,2026-09-05,15,No,0
CAD-1055,Incidente,No,2026-08-21,2026-08-23,2,Si,0
CAD-1008,Evolutivo,Si,2026-08-21,2026-09-01,11,No,0
CAD-1004,Evolutivo,Si,2026-08-21,2026-08-29,8,No,0
CAD-1077,Evolutivo,Si,2026-08-22,2026-08-28,6,No,0
CAD-1045,Interoperabilidad,No,2026-08-22,2026-09-11,20,No,0
CAD-1068,Incidente,No,2026-08-22,2026-08-25,3,No,3
CAD-1090,Cumplimiento,Si,2026-08-22,2026-12-05,105,No,0
CAD-1097,Cumplimiento,Si,2026-08-22,2026-08-29,7,No,0
CAD-1081,Incidente,No,2026-08-23,2026-08-24,1,No,0
CAD-1116,Evolutivo,Si,2026-08-24,2026-08-26,2,No,1
CAD-1006,Evolutivo,Si,2026-08-24,2026-08-31,7,No,0
CAD-1054,Incidente,No,2026-08-24,2026-08-27,3,No,0
CAD-1014,Incidente,No,2026-08-25,2026-08-26,1,No,0
CAD-1043,Evolutivo,Si,2026-08-25,2026-08-27,2,No,0
CAD-1040,Incidente,No,2026-08-26,2026-08-28,2,No,1
CAD-1119,Evolutivo,Si,2026-08-26,2026-08-29,3,No,3
CAD-1092,Incidente,No,2026-08-26,2026-08-28,2,No,0
CAD-1076,Cumplimiento,Si,2026-08-28,2026-09-06,9,No,0
CAD-1106,Evolutivo,Si,2026-08-28,2026-09-08,11,No,1
CAD-1051,Evolutivo,Si,2026-08-28,2026-09-05,8,No,0
CAD-1078,Evolutivo,Si,2026-08-29,2026-09-01,3,No,0
CAD-1030,Cumplimiento,Si,2026-08-29,2026-09-06,8,No,0
CAD-1010,Incidente,No,2026-08-30,2026-08-31,1,No,4
CAD-1103,Incidente,No,2026-08-30,2026-09-03,4,No,0
